2021-06-27 21:06:724 INFO  ComputerPage :29 - Clicking on desktops link : [[ChromeDriver: chrome on WINDOWS (f13c030fc2e3d8c7f382f6bcf1ca6333)] -> link text: Desktops]
2021-06-27 21:06:226 INFO  ComputerPage :37 - Select position from drop down :[[ChromeDriver: chrome on WINDOWS (f13c030fc2e3d8c7f382f6bcf1ca6333)] -> xpath: //select[@name='products-orderby']]
2021-06-27 21:06:292 INFO  ComputerPage :42 - Get list of products : [[[ChromeDriver: chrome on WINDOWS (f13c030fc2e3d8c7f382f6bcf1ca6333)] -> xpath: //h2[@class='product-title']], [[ChromeDriver: chrome on WINDOWS (f13c030fc2e3d8c7f382f6bcf1ca6333)] -> xpath: //h2[@class='product-title']], [[ChromeDriver: chrome on WINDOWS (f13c030fc2e3d8c7f382f6bcf1ca6333)] -> xpath: //h2[@class='product-title']]]
2021-06-27 21:06:593 INFO  BasePage :30 - Launching Chrome Browser 
2021-06-27 21:06:861 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (dd7d3e80e003a1f979f0b7cc0979aacc)] -> link text: Computers]
2021-06-27 21:06:699 INFO  ComputerPage :29 - Clicking on desktops link : [[ChromeDriver: chrome on WINDOWS (dd7d3e80e003a1f979f0b7cc0979aacc)] -> link text: Desktops]
2021-06-27 21:06:974 INFO  ComputerPage :37 - Select position from drop down :[[ChromeDriver: chrome on WINDOWS (dd7d3e80e003a1f979f0b7cc0979aacc)] -> xpath: //select[@name='products-orderby']]
2021-06-27 21:06:113 INFO  BuildYourOwnComputerPage :51 - Click on add to cart button [[ChromeDriver: chrome on WINDOWS (dd7d3e80e003a1f979f0b7cc0979aacc)] -> xpath: //div[@class='item-box'][1]//button[text()='Add to cart']]
2021-06-27 21:06:548 INFO  BuildYourOwnComputerPage :57 - Verify User Navigate to Build your own Computer product page [[ChromeDriver: chrome on WINDOWS (dd7d3e80e003a1f979f0b7cc0979aacc)] -> xpath: //h1[contains(text(),'Build your own computer')]]
2021-06-27 21:06:370 INFO  BuildYourOwnComputerPage :64 - select the processor from drop down [[ChromeDriver: chrome on WINDOWS (dd7d3e80e003a1f979f0b7cc0979aacc)] -> xpath: //select[@id='product_attribute_1']]
2021-06-27 21:06:705 INFO  BuildYourOwnComputerPage :70 - select the Ram from drop down [[ChromeDriver: chrome on WINDOWS (dd7d3e80e003a1f979f0b7cc0979aacc)] -> xpath: //select[@id='product_attribute_2']]
2021-06-27 21:06:842 INFO  BuildYourOwnComputerPage :76 - click On Hdd from radio button [[ChromeDriver: chrome on WINDOWS (dd7d3e80e003a1f979f0b7cc0979aacc)] -> xpath: //dd[@id='product_attribute_input_3']//label[text()='400 GB [+$100.00]']]
